user_id	account	trn_time	trn_amt
70	SA80 89LU 2KHK UYEV EMSO XTTN	5/24/2016	$127.20
71	PK89 BXAU 7QNP ZWOK VDUC XYOU	10/23/2016	$599.39
72	MC72 6543 4815 43FS L7IE DITM X06	9/5/2016	$482.36
73	HU70 5549 9073 8364 7770 1055 8462	9/28/2016	$661.00
74	BE27 9348 0623 0596	7/5/2016	$998.43
75	BA71 5415 6239 7399 1886	7/30/2016	$968.41
76	MD63 FVXM 6A6P WL0A RFA6 O7LG	3/24/2016	$776.80
77	FR66 1216 8198 57MX KSCT 7CWQ E93	3/13/2016	$837.00
78	ES13 3124 3705 6871 0637 8389	8/27/2016	$348.21
79	BE94 7648 8571 0374	5/3/2016	$647.21
80	BG64 WKVL 9266 99U5 8PJW LU	2/9/2016	$548.51
81	LB54 2265 DPEY OO0B BAJ9 ICVV VNXL	3/4/2016	$216.34
82	FR85 6330 1243 20SJ XNYQ HHIP Y07	7/27/2016	$291.54
83	PL23 3601 3229 1987 6568 0744 7534	8/27/2016	$215.99
84	IL11 5695 3177 0159 1681 402	9/17/2016	$801.37
85	LU44 601Z RGTH DETW 5QB0	8/6/2016	$936.55
86	PT19 2500 2102 0022 6612 7592 9	7/31/2016	$963.25
87	RO21 VXWF MZXM PKMC ICIP JSUY	6/10/2016	$151.63
88	HU34 5434 9224 6555 2226 8809 0728	7/11/2016	$152.94
89	PL44 1324 8642 2840 2501 6247 0040	2/12/2016	$407.90
90	EE76 8676 3180 1617 1091	8/31/2016	$666.14
91	LB10 8857 EQFU 3Z4V EPW8 JXL4 JLTQ	12/1/2015	$589.44
92	AE49 7420 5915 2089 7909 835	9/1/2016	$889.57
93	MC53 6153 6629 90DE KPAJ NAEY B15	3/25/2016	$927.98
94	TR35 1360 2BSY JXUY OWMA ADJN JJ	5/22/2016	$443.56
95	IE62 UMJE 9789 4961 9471 48	9/9/2016	$379.50
96	FR67 3285 8422 30KY HLBL Y8IL J61	7/30/2016	$466.96
97	CY57 2726 6975 G0RU SWDH LIFU JUTH	4/26/2016	$388.64
98	FR83 6957 1809 27VG LPXI YG7C L72	7/3/2016	$628.36
99	SM29 H791 5310 6671 CNPD S8HP KNM	8/18/2016	$363.56
100	CY66 6876 7906 V4QQ FNQR D7SI 4HEW	4/21/2016	$231.30
101	PK89 ZEEK EOQR T3QH ASVM 9YEI	4/25/2016	$851.11
102	LI83 9996 2EL5 QAWS 06V1 3	6/29/2016	$186.24
103	VG35 JXOI 2195 3142 9680 2661	6/14/2016	$536.50
104	IE02 DYCU 9537 2525 2444 81	11/22/2015	$131.14
105	PK80 NWAR 2QCT 1VQ7 0U69 EVZL	2/13/2016	$481.03
106	BE55 0239 6950 1396	2/15/2016	$167.12
107	RO87 HKCA QUES VCMF 4HI5 ABV7	3/29/2016	$323.01
108	RO97 FOKY L3II LUWK 51BR 4NM1	12/5/2015	$344.21
109	HR52 3231 7535 0021 9582 2	11/1/2016	$472.57
110	AZ46 WBQD 1DLV M2LY 2IEL TXAQ RRVQ	11/24/2015	$79.46
111	SI57 3377 2008 2579 761	7/29/2016	$554.97
112	MT75 XSKI 5482 1EVV WOBW 3U9B VOPB ZI1	11/20/2015	$523.55
113	IS32 0894 4070 4038 6047 7267 74	4/3/2016	$770.50
114	NO56 6792 5605 674	11/28/2015	$514.76
115	PS31 FNAM XCPD TIJ9 UMJJ J7DZ ADYB B	1/2/2016	$284.01
116	SE95 5643 2106 3929 8728 6580	6/21/2016	$567.87
117	AL44 0985 2980 IY02 WGQ0 UJRN LKSI	6/30/2016	$822.30
118	VG81 KYKA 8457 1736 0992 9314	8/20/2016	$516.86
119	LB06 9648 STNV HWW8 FDFH BPAB EUOU	5/17/2016	$409.11
120	IE42 ZVIA 4164 9639 7131 73	8/30/2016	$80.89
121	LT71 4014 1021 2688 3854	3/30/2016	$583.59
122	ME23 1055 3235 9846 5864 74	8/23/2016	$883.13
123	FR76 0324 2672 94DS YM2Y WGXC K21	11/9/2016	$212.09
124	GR10 6284 191X XD88 W1M1 KDET YCG	8/1/2016	$123.53
125	GE38 GR34 9790 0084 2758 93	12/4/2015	$893.27
126	SK22 0667 3398 8638 3798 0171	11/15/2015	$644.25
127	LU13 039G RIE6 NJEJ AKBQ	3/6/2016	$181.54
128	FR25 0357 0530 11YN HR5Q J9TW E47	6/20/2016	$721.48
129	BG09 PRDK 2840 72GE 1IUI 2D	2/29/2016	$449.82
130	AD53 2064 1199 HCIH AG6X 4X3P	7/15/2016	$724.35
131	FR54 7955 8068 77XO SNOM TBGQ V16	6/17/2016	$749.38
132	PS02 NGIB 3XKS HMJL CQP3 LYY6 U7IF U	5/25/2016	$249.38
133	MC15 6433 3871 83I3 KBXH V2JG Q70	10/30/2016	$453.49
134	FR49 3580 3603 31HI VSEQ OSOE G15	5/11/2016	$533.84
135	SE71 6468 3211 0857 2955 9050	1/24/2016	$351.67
136	MD10 PIIJ VDZK 3KIH OLET YNQZ	3/17/2016	$249.82
137	MR79 4762 3848 4888 7210 5055 154	9/18/2016	$376.35
138	NL90 MDVV 7081 9372 70	7/29/2016	$937.49
139	MU08 NBTD 0159 9387 5258 0390 284E PF	5/8/2016	$695.14
140	NL41 RVOX 7766 4919 42	3/15/2016	$509.94
141	HR19 4893 4624 8437 5661 5	7/25/2016	$747.87
142	MD97 AVNB BEXW UPLI 4WQC S1BQ	2/15/2016	$717.95
143	KW96 BGOY KRRU H3RY 4XNR PNRK 0B2J O4	8/5/2016	$675.88
144	SM37 Q724 4094 061H 9EZ1 BYMB AM4	8/19/2016	$957.86
145	SM86 H215 6539 733D 0LVS WKKH MGG	1/3/2016	$738.13
146	TR54 2137 2GEK KCV9 9AGC 9CNJ MS	1/14/2016	$243.29
147	GB20 PNKQ 1618 2152 1146 90	10/5/2016	$672.33
148	SA25 06ZP UTXW ZJ0P RJOJ W8LR	3/12/2016	$399.10
149	AE87 8599 3344 6893 6320 447	10/4/2016	$951.50
150	FI70 2054 6163 9319 82	10/28/2016	$495.49
151	FR31 5691 7195 484I OLGP KHFJ U18	12/17/2015	$644.49
152	FR56 5368 6170 339D 8HGD DD5O J99	2/20/2016	$458.91
153	FR14 0050 7710 07YN JCUQ DRRK B45	8/17/2016	$722.94
154	DE15 6457 5466 8570 5088 82	11/7/2016	$865.91
155	DK51 1428 9525 3368 06	11/26/2015	$940.57
156	RO33 LOOO 6WIA NIJ6 XDAE CEU5	4/23/2016	$588.93
157	FR73 3966 6022 18HE JGWW OXCV R42	8/9/2016	$218.01
158	GT74 WVAS BBJA Q0WP RMGI 8U8Y GXFY	2/18/2016	$407.58
159	SK31 8354 0602 4701 7636 8874	2/5/2016	$480.81
160	IL45 7598 3783 7260 6628 882	1/18/2016	$167.94
161	ES28 9031 4262 6269 6678 5061	1/16/2016	$442.87
162	IL40 4549 2925 9762 0638 192	2/4/2016	$828.19
163	FR40 7377 4559 856W EJUL 89XY S20	4/25/2016	$445.51
164	LT65 3961 3622 8530 9230	1/27/2016	$839.36
165	BH27 ZBMW LYSQ I82X GGHO ES	1/30/2016	$922.83
166	FI57 2397 4280 9135 79	2/27/2016	$262.01
167	FR92 3456 5441 55M1 507E HXOF O05	2/12/2016	$887.73
168	PT85 7796 5878 4806 3382 1813 2	6/12/2016	$611.62
169	HU72 4017 5437 8541 0428 0990 0931	5/4/2016	$688.23
170	BR78 6855 8434 7370 4720 6084 692X L	9/9/2016	$363.74
171	DK10 2268 5656 2591 30	9/19/2016	$854.33
172	IE69 WDVS 6940 6451 7196 42	12/2/2015	$366.07
173	CH62 8336 5HY8 1AWE R7AP U	8/13/2016	$559.11
174	BE45 2167 6171 5388	6/8/2016	$992.04
175	SE71 3108 0622 2960 0221 9993	6/19/2016	$136.03
176	AT50 5036 0267 8882 7093	1/24/2016	$270.59
177	ES38 7364 4726 7317 0879 8882	8/12/2016	$879.58
178	CR53 2478 7162 2007 1702 6	2/28/2016	$886.74
179	GE57 IU51 3364 8755 0473 59	8/24/2016	$868.18
180	FI05 1610 4077 5064 42	9/23/2016	$119.66
181	SM69 L320 0194 710R MJTA PBDP EYA	11/9/2016	$565.66
182	IT50 E206 6920 508X KLY4 0YUH XH7	10/22/2016	$919.46
183	BE66 8199 9641 4914	10/7/2016	$483.25
184	IT45 N469 1472 612R AW9N HIYV P5N	9/18/2016	$465.86
185	FR48 6582 1321 65V8 QYAX HL0Y 366	10/16/2016	$908.88
186	TR51 8969 18PS NF9W QOXJ 4GFD VF	4/24/2016	$132.31
187	AD81 0133 9932 4MHX QZ51 DFWC	3/28/2016	$977.36
188	AD21 8950 9051 PJXY UKCG DMFM	12/4/2015	$699.17
189	PK21 ZIUM GD6Q HLNI BDLI FZMM	2/20/2016	$565.50
190	GR82 7222 479X ZOML LN0U 4DJB IRO	2/17/2016	$302.55
191	VG23 SZHS 1717 7771 9896 3275	12/21/2015	$720.75
192	FR34 3916 6320 96N1 59BZ LX3X 270	5/8/2016	$743.67
193	AT06 2040 6697 2673 3136	6/9/2016	$95.17
194	FR48 1871 8515 55M8 XIR5 TP4D J93	4/25/2016	$465.57
195	BG81 JVLV 0455 18JN PRMZ DZ	1/16/2016	$639.13
196	CR12 8089 5026 6773 8061 6	10/17/2016	$833.47
197	RO68 FOHH NHLC RUMI UKAM DDD8	6/28/2016	$103.24
198	BR32 5517 2866 0026 5330 4346 676L J	6/27/2016	$293.82
199	MC88 8363 6681 192Q BDFX K5B0 722	1/20/2016	$521.29
200	GL05 5632 6341 7225 33	5/29/2016	$812.90
201	FR97 4665 4715 9636 DLNO 5KSP U58	11/15/2015	$776.71
202	FO70 8208 6161 9134 06	11/1/2016	$416.14
203	FR79 3558 4692 59EZ LC8R RPCN 540	8/23/2016	$928.69
204	MR55 7049 6127 0486 2543 5890 314	12/19/2015	$435.76
205	GL22 8793 6527 3028 41	4/12/2016	$692.50
206	FR81 2049 2068 79N4 C2FC KNVB P13	11/29/2015	$686.59
207	GR94 0066 238O QXFF TWZ9 CDDC 7HE	11/11/2016	$475.45
208	DK61 9695 2123 5149 35	8/15/2016	$325.91
209	AD88 1633 3200 MYUT JGO3 UUSL	11/25/2015	$647.70
210	ME09 3192 3905 4815 9536 08	11/27/2015	$212.69
211	MD68 A3QO ORBY PELO F6MG 2OHI	11/23/2015	$717.52
212	KW37 SAPR UGWJ GBID FK8I 9LTH JJVW G1	12/13/2015	$172.89
213	BH30 UQUZ WY5K ENL4 QPSX V3	11/2/2016	$517.45
214	RS95 4173 7341 2825 0876 98	4/3/2016	$562.51
215	MR91 9687 2397 8886 2254 0358 098	10/13/2016	$551.83
216	HR51 3246 5334 7247 4109 6	9/4/2016	$260.92
217	IS94 3066 1051 4485 0757 9815 79	7/20/2016	$123.53
218	CR81 7957 7192 1991 0663 4	6/30/2016	$92.03
219	AZ14 DQGA OUC2 LUWO RCJO ZFUH W3KH	3/15/2016	$273.77
220	BE98 9674 6565 6734	8/6/2016	$721.32
221	NL12 HMQF 0847 3083 85	8/18/2016	$868.42
222	GT29 JZLQ 9CO1 MJUH DPEE 1BNS ZFSZ	1/13/2016	$930.85
223	AE40 3139 0957 0253 0202 097	12/12/2015	$414.11
224	FR15 4124 0892 89WP A6M1 78XP Y39	8/28/2016	$152.37
225	MU41 OMWF 7913 5807 7720 4862 407N MH	10/27/2016	$757.18
226	GL50 8847 6086 5543 89	1/10/2016	$97.88
227	FR43 5471 6365 95R5 2YCB XCNS O42	3/1/2016	$502.40
228	AD04 5211 7519 TJKL 26Q2 0V5J	10/12/2016	$344.89
229	GL54 1038 4167 9815 93	9/1/2016	$506.63
230	IT97 D236 4438 9879 7JFD CTSF PBD	2/22/2016	$511.06
231	SE93 0948 8793 5879 6634 5157	8/27/2016	$949.73
232	GI76 NQSK 5P4E FPSN H2J0 JZR	2/25/2016	$972.32
233	EE90 7599 5901 8529 7984	6/12/2016	$241.59
234	HU51 7874 4756 5279 3340 6335 5231	11/4/2016	$271.25
235	PS76 RRYS VJXX CGKH Z1PK OUYB R9VM O	12/27/2015	$365.46
236	LU13 2003 9KUU UZRB HROV	7/20/2016	$355.36
237	BH46 EQGW 3B6M OGK9 CWDY OR	6/27/2016	$483.77
238	ME28 5498 3446 9716 7895 00	12/7/2015	$205.92
239	FR21 7711 0410 71BK 2XMK SFIS 853	4/19/2016	$627.65
240	GR91 3993 286R WBN2 Q9LA KPTW 5ZX	11/1/2016	$630.72
241	SI69 4766 7892 2765 228	8/15/2016	$458.25
242	MK69 675G E0IE DI8V L94	5/13/2016	$599.93
243	FR57 4912 6605 92FA FFRF VUKF X26	4/6/2016	$220.27
244	FR98 4488 0553 95MM MIBM 9JXR 145	9/10/2016	$771.14
245	LU73 975M HNCA TASO XEBF	7/24/2016	$656.14
246	GT79 6NJA U2QP OISD 2XAM 3O7S VH4U	6/22/2016	$507.37
247	SK72 7389 8400 8924 5048 1338	10/31/2016	$939.40
248	NL50 IRAJ 3396 7410 33	1/11/2016	$420.98
249	LI07 7296 4ORZ 31GD EV82 B	4/8/2016	$704.28
250	GB09 VTZT 3759 4761 8013 57	11/18/2015	$973.63
251	BG84 ECQT 6605 82GY A9FM BG	10/18/2016	$678.15
252	BR84 3436 3573 0414 4776 7798 660R N	9/3/2016	$508.03
253	FR16 2568 6823 62BI 4ZAY JHSV Q89	6/6/2016	$736.00
254	FR12 0180 7035 84IW K8BR T2US 784	7/20/2016	$784.02
255	PT16 6832 2705 6958 4218 6470 6	11/15/2015	$738.96
256	MR32 3209 6075 3770 8899 8096 593	2/15/2016	$270.89
257	TN40 2596 2097 3746 6937 1897	5/18/2016	$735.04
258	BE82 5169 8030 9930	1/18/2016	$293.12
259	GR85 4628 524O 5ON1 TGQ6 BW8G SE6	7/22/2016	$270.04
260	FR59 3603 4257 62O1 MS8W TXVI X99	8/11/2016	$89.33
261	MU84 PNCX 1829 5060 8203 7734 683Y AI	10/26/2016	$466.68
262	KW75 XNLD IAXV YZB6 MIUM UV4Y RNYO BY	6/15/2016	$447.88
263	PK35 QPNC XOIF FDOI MAPX 4QKS	3/5/2016	$970.96
264	DK50 6288 5263 7652 03	7/2/2016	$383.22
265	BR23 0622 1213 3211 9891 2370 683V B	11/13/2015	$161.68
266	PK15 ZDIJ XGC9 6IUU DEHM EM6O	3/6/2016	$234.38
267	MU43 ZCOL 5661 2645 1938 0731 635D CA	5/16/2016	$142.32
268	FR34 7896 8010 578M LXZ7 IFZY P49	10/21/2016	$990.60
269	VG72 NHPM 3204 8206 6855 4793	5/4/2016	$301.66
270	CH82 2633 4XLI VTBV XSEA Y	12/3/2015	$803.09
271	FR94 9692 5713 558A 3LGK JRET H43	10/8/2016	$235.31
272	FR26 5159 0790 64EU GQQ0 UNEL O57	11/16/2015	$942.69
273	FR15 2010 2552 75LK EHBU QH8O V89	10/29/2016	$300.50
274	IL78 9052 7595 5925 2412 469	6/7/2016	$882.24
275	LI38 9057 45SP AHAM IFKB O	1/8/2016	$907.87
276	HU92 0695 5399 9223 3092 7594 9251	5/25/2016	$730.43
277	FR79 8170 1779 15FW 7TNI P8AP 156	3/24/2016	$665.30
278	AE61 9935 7601 3297 6918 945	5/6/2016	$195.94
279	RO65 OWAT W7DG H3M3 LKES EHGN	1/19/2016	$994.93
280	MD22 K1IU C8FJ RXOQ SSXY 6UAA	3/8/2016	$762.80
281	IL27 0483 1046 5909 6218 641	3/3/2016	$891.01
282	AT56 9577 9141 2395 4940	8/11/2016	$133.39
283	BH92 PTXE M4TX LJF6 ECT0 L4	1/25/2016	$875.25
284	LB65 9513 YRC0 ZOCS SCF1 03V0 53ZK	2/9/2016	$623.61
285	KZ41 679F AXPV MNY1 EWA5	12/31/2015	$754.22
286	CR30 0663 2783 4423 7233 5	3/30/2016	$408.06
287	AE92 7629 3223 2439 5648 629	3/2/2016	$995.56
288	PS63 ZGGQ GJSY D1EG V92J VB18 QLBW A	10/8/2016	$708.30
289	IS29 8026 3595 2621 6516 0826 51	9/19/2016	$778.85
290	AZ40 HUSO 04DL QYRT FU3Z ZZWT B6KT	1/6/2016	$480.89
291	FR26 8582 8878 81BW VQHT DCD2 T32	2/11/2016	$142.23
292	PS39 AFHR NTOR CQ7A XWMN UTNJ TSXN H	3/26/2016	$150.51
293	AT85 9355 7771 2660 7994	4/4/2016	$400.53
294	RO48 EZHN 5X2D XSIH NDW1 KALI	11/9/2016	$348.44
295	CY12 6901 2985 YEBT G66Y QBMI PNV3	5/9/2016	$393.68
296	CY26 8867 4119 P4UW 13SD 3YZG K8K5	1/8/2016	$876.80
297	FI46 0360 9882 1454 09	1/1/2016	$690.64
298	BG24 YPPM 5773 85NO ZR7X WP	10/24/2016	$307.79
299	MR48 5301 3824 9259 1034 1819 529	6/27/2016	$372.47
300	KW73 IBUK FUMA P5FJ QJX2 YLUE 6FOW NA	2/3/2016	$584.00
301	CY67 9729 1901 JAMQ IEMO K17T E9HT	3/25/2016	$777.34
302	TN22 9337 6947 7069 5449 2755	7/16/2016	$283.62
303	SE67 6416 4601 3084 7400 7052	9/17/2016	$627.55
304	LU79 662N G3SW Z0QJ KLBV	5/26/2016	$630.19
305	AE95 1199 5974 1184 1032 780	1/20/2016	$852.01
306	GT06 BXLD REAH OPOL 1DVX ZNCI BAIX	12/8/2015	$138.30
307	FR31 1369 0706 41BW DJ9H TEUG M60	2/26/2016	$499.16
308	FR73 9864 5288 47NE UOFU 6WRS V32	11/29/2015	$811.76
309	BR38 9998 5808 9742 4063 9826 712W A	4/23/2016	$278.41
310	IL98 4069 0460 2922 7945 023	12/27/2015	$944.02
311	HU42 9156 3511 1954 3973 6955 4886	3/15/2016	$548.89
312	MC88 5570 7353 24BY FZBB ZI8X M90	11/24/2015	$863.52
313	FR92 6415 6103 98AA KCGR EFAQ T92	5/31/2016	$188.78
314	FR66 5702 9128 16F8 UEZH JQJR 960	6/28/2016	$761.56
315	AL40 6674 2424 WKHY 6R3G W1JQ PU06	9/12/2016	$451.47
316	GE14 OP16 7984 0220 2337 64	2/3/2016	$253.57
317	LV12 RDAU 12W2 L8LJ 5OH0 B	9/7/2016	$873.33
318	BR60 3788 3120 7736 7707 2540 419K M	5/2/2016	$540.54
319	GE77 GF88 3051 2467 1464 81	8/30/2016	$471.84
320	ES58 2927 2503 9880 2025 6323	1/25/2016	$727.58
321	FR06 3660 0948 12TV 6ZJZ QOY0 P97	12/10/2015	$820.90
322	AE54 9929 8532 8806 0754 572	1/3/2016	$536.69
323	DK05 8961 0426 6288 65	7/4/2016	$880.77
324	KW37 BTDK HXVE 5KBH FZUT KXI6 O5WX XK	6/19/2016	$892.57
325	AL59 8582 2267 ZRCX ZXIS DPUX 8CCO	6/5/2016	$930.78
326	AE02 6683 4186 0322 8799 442	7/3/2016	$256.10
327	VG04 IBCM 3224 8450 9353 3970	12/27/2015	$432.84
328	PS48 RABT UFNE G0RD X8TS S6LW UQQ8 Y	9/8/2016	$788.17
329	CH60 6524 2UMK K4TX 8ZNJ T	10/9/2016	$799.52
330	IL58 7168 3150 3589 5959 286	12/21/2015	$254.77
331	NO69 9297 9049 844	12/2/2015	$348.23
332	ME11 9932 4128 7770 0054 11	7/16/2016	$120.29
333	EE80 6239 4893 8748 7916	3/24/2016	$925.73
334	AD14 1773 6870 IID0 VYHK BIPK	7/23/2016	$168.54
335	FR86 7942 2749 67J3 2U8C UFWV B07	10/2/2016	$203.02
336	NO39 4069 4443 288	7/17/2016	$392.42
337	BG95 XJKN 5639 87TZ DIBX SG	12/26/2015	$546.84
338	PK25 QYVL UC0S XVA2 XHZE BJFQ	1/6/2016	$123.11
339	SA37 99C1 HVLU BGWP 8D2J Z4DR	4/6/2016	$726.97
340	IT55 X279 3899 075Q KWDK PSX5 M7J	7/1/2016	$620.47
341	FR57 2805 6136 38MV 475U 0FYJ J68	11/10/2016	$382.24
342	FR96 0177 7088 74GH FYER V6LM 152	9/15/2016	$810.02
343	AZ37 RXNM XBM2 ZAXP 8LAT W46X JPES	1/25/2016	$159.58
344	GE32 YK15 4059 6294 0208 74	7/30/2016	$367.92
345	DO38 UZL2 2356 2790 2215 9915 7539	3/26/2016	$840.49
346	LV28 DVDQ CEQO CU7S 02G2 W	10/15/2016	$918.68
347	ME66 4680 6823 1276 5973 69	9/13/2016	$213.90
348	FR97 6492 2900 05HF LQBH BC7H Z34	2/27/2016	$162.11
349	DE91 7991 7159 2831 3335 02	6/19/2016	$94.85
350	VG45 SJGV 9580 6235 4512 5899	6/19/2016	$442.16
351	LI61 6381 4DJA INUR 32N3 I	12/29/2015	$96.21
352	FR35 4236 1440 73MO X07H TLDJ Y19	9/29/2016	$720.16
353	IE48 ASDD 0936 3276 8163 61	5/27/2016	$953.98
354	CH57 4379 5VWX 5W8G XV60 U	11/3/2016	$803.96
355	LB97 0207 BD7T RM5G MNKP NZ2P JQU3	11/15/2015	$302.64
356	FR10 7963 6260 21VN RRAZ 16CD 272	4/17/2016	$939.79
357	BH75 BXXD RU5D AOAX TCF4 0A	1/3/2016	$290.95
358	FR07 1993 9307 95T6 GV9I UD6B H36	2/28/2016	$716.16
359	GI68 DLKZ TCH0 ISAM VCRA KAL	4/17/2016	$718.54
360	HR52 9773 1397 2334 5786 9	6/22/2016	$503.53
361	ES45 7810 0197 0903 1091 2239	1/31/2016	$787.92
362	GR65 5334 107C GUFS O5HR WKUG HTB	12/5/2015	$549.53
363	CZ12 6566 2725 4864 9950 2045	3/2/2016	$678.88
364	LI44 1520 4AJH DOVE 7KSL K	7/9/2016	$75.57
365	GI96 JVTK C90O PLY8 GDZF 0JT	9/8/2016	$632.77
366	BG58 ACQJ 4128 52XY AZCL IP	10/13/2016	$853.60
367	PK05 DXCF D7A9 VZTX IHKZ YDPW	11/4/2016	$171.09
368	GE18 UW42 9922 1931 2430 59	3/17/2016	$609.88
369	GR10 1049 411O MIMP K8KF 7K6Y ZAM	11/5/2016	$446.11
370	GR91 4467 381E GDSB WYF1 CM0L AEH	4/5/2016	$879.74
371	NO22 3551 8707 021	3/7/2016	$307.22
372	FR12 9897 5033 257E VHXI Y2SZ B87	11/25/2015	$571.13
373	KZ96 158N VCIS XQCH CC4H	2/15/2016	$163.04
374	GI35 GMPU CIDR Y9RT UDBS 5PG	3/10/2016	$113.76
375	FR91 2181 5872 12RJ MLGJ WGAS G32	4/8/2016	$807.30
376	MU88 FWWF 9654 1773 3794 2872 159Z HB	6/28/2016	$782.01
377	SM12 U108 8688 221T TMEN BS6V 9XE	3/29/2016	$571.12
378	KZ43 074N XBCO B0GG XC31	1/12/2016	$640.52
379	LB94 9326 Q5VZ OZZH IT0J H6MJ BXB2	3/14/2016	$340.25
380	FR91 8873 0063 16AM REG2 N14C K67	9/3/2016	$870.91
